Variable,Protein,Protein_meaning,Protein_panel
sorbs1,SORBS1,Sorbin and SH3 domain-containing protein 1,Neurology_II
sorcs2,SORCS2,VPS10 domain-containing receptor SorCS2,Oncology
sord,SORD,Sorbitol dehydrogenase,Oncology
sort1,SORT1,Sortilin,Cardiometabolic
sost,SOST,Sclerostin,Cardiometabolic
sowaha,SOWAHA,Ankyrin repeat domain-containing protein SOWAHA,Neurology_II
sox2,SOX2,Transcription factor SOX-2,Neurology_II
sox9,SOX9,Transcription factor SOX-9,Neurology_II
spaca5_spaca5b,SPACA5_SPACA5B,Sperm acrosome-associated protein 5,Neurology_II
spag1,SPAG1,Sperm-associated antigen 1,Neurology_II
sparc,SPARC,SPARC,Oncology
sparcl1,SPARCL1,SPARC-like protein 1,Cardiometabolic
spart,SPART,Spartin,Inflammation_II
spesp1,SPESP1,Sperm equatorial segment protein 1,Cardiometabolic_II
spink1,SPINK1,Serine protease inhibitor Kazal-type 1,Neurology
spink2,SPINK2,Serine protease inhibitor Kazal-type 2,Inflammation_II
spink4,SPINK4,Serine protease inhibitor Kazal-type 4,Inflammation
spink5,SPINK5,Serine protease inhibitor Kazal-type 5,Neurology
spink6,SPINK6,Serine protease inhibitor Kazal-type 6,Oncology
spink8,SPINK8,Serine protease inhibitor Kazal-type 8,Cardiometabolic_II
spint1,SPINT1,Kunitz-type protease inhibitor 1,Neurology
spint2,SPINT2,Kunitz-type protease inhibitor 2,Inflammation
spint3,SPINT3,Kunitz-type protease inhibitor 3,Oncology_II
spock1,SPOCK1,Testican-1,Neurology
spon1,SPON1,Spondin-1,Inflammation
spon2,SPON2,Spondin-2,Cardiometabolic
spp1,SPP1,Osteopontin,Cardiometabolic
spred2,SPRED2,"Sprouty-related, EVH1 domain-containing protein 2",Inflammation_II
spring1,SPRING1,SREBP regulating gene protein,Oncology_II
sprr1b,SPRR1B,Cornifin-B,Oncology_II
sprr3,SPRR3,Small proline-rich protein 3,Neurology_II
spry2,SPRY2,Protein sprouty homolog 2,Inflammation
sptbn2,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",Neurology_II
sptlc1,SPTLC1,Serine palmitoyltransferase 1,Neurology_II
src,SRC,Proto-oncogene tyrosine-protein kinase Src,Oncology
srp14,SRP14,Signal recognition particle 14 kDa protein,Oncology
srpk2,SRPK2,SRSF protein kinase 2,Inflammation
srpx,SRPX,Sushi repeat-containing protein SRPX,Cardiometabolic_II
ssb,SSB,Lupus La protein,Neurology
ssbp1,SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Inflammation_II
ssc4d,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,Cardiometabolic
ssc5d,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,Cardiometabolic
ssh3,SSH3,Protein phosphatase Slingshot homolog 3,Oncology_II
ssna1,SSNA1,Sjoegren syndrome nuclear autoantigen 1,Oncology_II
st13,ST13,Hsc70-interacting protein,Inflammation_II
st3gal1,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Oncology
st6gal1,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",Cardiometabolic
st8sia1,ST8SIA1,"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",Inflammation_II
stab2,STAB2,Stabilin-2,Cardiometabolic_II
stam,STAM,Signal transducing adapter molecule 1,Oncology_II
stambp,STAMBP,STAM-binding protein,Neurology
stat2,STAT2,Signal transducer and activator of transcription 2,Inflammation_II
stat5b,STAT5B,Signal transducer and activator of transcription 5B,Oncology
stau1,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,Oncology_II
stc1,STC1,Stanniocalcin-1,Neurology
stc2,STC2,Stanniocalcin-2,Neurology
steap4,STEAP4,Metalloreductase STEAP4,Neurology_II
stip1,STIP1,Stress-induced-phosphoprotein 1,Neurology
stk11,STK11,Serine/threonine-protein kinase STK11,Cardiometabolic
stk24,STK24,Serine/threonine-protein kinase 24,Neurology
stk4,STK4,Serine/threonine-protein kinase 4,Cardiometabolic
stoml2,STOML2,"Stomatin-like protein 2, mitochondrial",Oncology_II
stx16,STX16,Syntaxin-16,Oncology
stx1b,STX1B,Syntaxin-1B,Neurology_II
stx3,STX3,Syntaxin-3,Neurology_II
stx4,STX4,Syntaxin-4,Oncology
stx5,STX5,Syntaxin-5,Inflammation_II
stx6,STX6,Syntaxin-6,Oncology
stx7,STX7,Syntaxin-7,Inflammation_II
stx8,STX8,Syntaxin-8,Inflammation
stxbp1,STXBP1,Syntaxin-binding protein 1,Neurology_II
stxbp3,STXBP3,Syntaxin-binding protein 3,Oncology
sugp1,SUGP1,SURP and G-patch domain-containing protein 1,Oncology_II
sugt1,SUGT1,Protein SGT1 homolog,Oncology
sult1a1,SULT1A1,Sulfotransferase 1A1,Neurology
sult2a1,SULT2A1,Bile salt sulfotransferase,Inflammation
sumf1,SUMF1,Formylglycine-generating enzyme,Inflammation_II
sumf2,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2,Neurology
suox,SUOX,"Sulfite oxidase, mitochondrial",Neurology_II
susd1,SUSD1,Sushi domain-containing protein 1,Cardiometabolic
susd2,SUSD2,Sushi domain-containing protein 2,Neurology
susd4,SUSD4,Sushi domain-containing protein 4,Oncology_II
susd5,SUSD5,Sushi domain-containing protein 5,Inflammation_II
sv2a,SV2A,Synaptic vesicle glycoprotein 2A,Neurology_II
swap70,SWAP70,Switch-associated protein 70,Oncology_II
syap1,SYAP1,Synapse-associated protein 1,Inflammation_II
syngap1,SYNGAP1,Ras/Rap GTPase-activating protein SynGAP,Neurology_II
syt1,SYT1,Synaptotagmin-1,Neurology_II
sytl4,SYTL4,Synaptotagmin-like protein 4,Cardiometabolic_II
tab2,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,Oncology_II
tacc3,TACC3,Transforming acidic coiled-coil-containing protein 3,Oncology
tacstd2,TACSTD2,Tumor-associated calcium signal transducer 2,Oncology
tada3,TADA3,Transcriptional adapter 3,Oncology_II
tafa5,TAFA5,Chemokine-like protein TAFA-5,Oncology
tagln3,TAGLN3,Transgelin-3,Oncology_II
taldo1,TALDO1,Transaldolase,Cardiometabolic_II
tank,TANK,TRAF family member-associated NF-kappa-B activator,Inflammation
tap1,TAP1,Antigen peptide transporter 1,Oncology_II
tarbp2,TARBP2,RISC-loading complex subunit TARBP2,Neurology
tarm1,TARM1,"T-cell-interacting, activating receptor on myeloid cells protein 1",Neurology_II
tars1,TARS1,"Threonine--tRNA ligase 1, cytoplasmic",Oncology_II
tax1bp1,TAX1BP1,Tax1-binding protein 1,Neurology_II
tbc1d17,TBC1D17,TBC1 domain family member 17,Neurology
tbc1d23,TBC1D23,TBC1 domain family member 23,Oncology
tbc1d5,TBC1D5,TBC1 domain family member 5,Inflammation
tbca,TBCA,Tubulin-specific chaperone A,Inflammation_II
tbcb,TBCB,Tubulin-folding cofactor B,Neurology
tbcc,TBCC,Tubulin-specific chaperone C,Neurology
tbl1x,TBL1X,F-box-like/WD repeat-containing protein TBL1X,Oncology
tbr1,TBR1,T-box brain protein 1,Neurology_II
tcl1a,TCL1A,T-cell leukemia/lymphoma protein 1A,Neurology
tcl1b,TCL1B,T-cell leukemia/lymphoma protein 1B,Cardiometabolic
tcn1,TCN1,Transcobalamin-1,Inflammation_II
tcn2,TCN2,Transcobalamin-2,Cardiometabolic
tcof1,TCOF1,Treacle protein,Cardiometabolic_II
tcp11,TCP11,T-complex protein 11 homolog,Oncology_II
tctn3,TCTN3,Tectonic-3,Cardiometabolic_II
tdgf1,TDGF1,Teratocarcinoma-derived growth factor 1,Neurology
tdo2,TDO2,"Tryptophan 2,3-dioxygenase",Neurology_II
tdp1,TDP1,Tyrosyl-DNA phosphodiesterase 1,Oncology_II
tdrkh,TDRKH,Tudor and KH domain-containing protein,Neurology
tef,TEF,Thyrotroph embryonic factor,Cardiometabolic_II
tek,TEK,Angiopoietin-1 receptor,Oncology
terf1,TERF1,Telomeric repeat-binding factor 1,Inflammation_II
tet2,TET2,Methylcytosine dioxygenase TET2,Oncology_II
tex101,TEX101,Testis-expressed protein 101,Neurology_II
tex33,TEX33,Testis-expressed protein 33,Oncology_II
tf,TF,Serotransferrin,Inflammation_II
tfap2a,TFAP2A,Transcription factor AP-2-alpha,Neurology_II
tff1,TFF1,Trefoil factor 1,Neurology
tff2,TFF2,Trefoil factor 2,Inflammation
tff3,TFF3,Trefoil factor 3,Cardiometabolic
tfpi,TFPI,Tissue factor pathway inhibitor,Cardiometabolic
tfpi2,TFPI2,Tissue factor pathway inhibitor 2,Oncology
tfrc,TFRC,Transferrin receptor protein 1,Cardiometabolic
tg,TG,Thyroglobulin,Oncology_II
tgfa,TGFA,Protransforming growth factor alpha,Inflammation
tgfb1,TGFB1,Transforming growth factor beta-1 proprotein,Inflammation
tgfb2,TGFB2,Transforming growth factor beta-2 proprotein,Oncology_II
tgfbi,TGFBI,Transforming growth factor-beta-induced protein ig-h3,Cardiometabolic
tgfbr1,TGFBR1,TGF-beta receptor type-1,Inflammation_II
tgfbr2,TGFBR2,TGF-beta receptor type-2,Oncology
tgfbr3,TGFBR3,Transforming growth factor beta receptor type 3,Cardiometabolic
tgm2,TGM2,Protein-glutamine gamma-glutamyltransferase 2,Cardiometabolic
tgoln2,TGOLN2,Trans-Golgi network integral membrane protein 2,Inflammation_II
thap12,THAP12,52 kDa repressor of the inhibitor of the protein kinase,Oncology_II
thbd,THBD,Thrombomodulin,Cardiometabolic
thbs2,THBS2,Thrombospondin-2,Neurology
thbs4,THBS4,Thrombospondin-4,Cardiometabolic
thop1,THOP1,Thimet oligopeptidase,Cardiometabolic
thpo,THPO,Thrombopoietin,Cardiometabolic
thrap3,THRAP3,Thyroid hormone receptor-associated protein 3,Cardiometabolic_II
thsd1,THSD1,Thrombospondin type-1 domain-containing protein 1,Inflammation_II
thtpa,THTPA,Thiamine-triphosphatase,Oncology_II
thy1,THY1,Thy-1 membrane glycoprotein,Neurology
tia1,TIA1,Nucleolysin TIA-1 isoform p40,Cardiometabolic
tie1,TIE1,Tyrosine-protein kinase receptor Tie-1,Cardiometabolic
tigar,TIGAR,"Fructose-2,6-bisphosphatase TIGAR",Neurology
tigit,TIGIT,T-cell immunoreceptor with Ig and ITIM domains,Oncology_II
timd4,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,Cardiometabolic
timm10,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,Cardiometabolic_II
timm8a,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,Neurology_II
timp1,TIMP1,Metalloproteinase inhibitor 1,Cardiometabolic
timp2,TIMP2,Metalloproteinase inhibitor 2,Cardiometabolic_II
timp3,TIMP3,Metalloproteinase inhibitor 3,Inflammation
timp4,TIMP4,Metalloproteinase inhibitor 4,Neurology
tinagl1,TINAGL1,Tubulointerstitial nephritis antigen-like,Cardiometabolic
tjap1,TJAP1,Tight junction-associated protein 1,Oncology
tjp3,TJP3,Tight junction protein ZO-3,Neurology_II
tk1,TK1,"Thymidine kinase, cytosolic",Oncology_II
tlr1,TLR1,Toll-like receptor 1,Inflammation_II
tlr2,TLR2,Toll-like receptor 2,Oncology_II
tlr3,TLR3,Toll-like receptor 3,Inflammation
tlr4,TLR4,Toll-like receptor 4,Inflammation_II
tmco5a,TMCO5A,Transmembrane and coiled-coil domain-containing protein 5A,Neurology_II
tmed1,TMED1,Transmembrane emp24 domain-containing protein 1,Oncology_II
tmed10,TMED10,Transmembrane emp24 domain-containing protein 10,Cardiometabolic_II
tmed4,TMED4,Transmembrane emp24 domain-containing protein 4,Cardiometabolic_II
tmed8,TMED8,Protein TMED8,Oncology_II
tmem106a,TMEM106A,Transmembrane protein 106A,Oncology_II
tmem132a,TMEM132A,Transmembrane protein 132A,Cardiometabolic_II
tmem25,TMEM25,Transmembrane protein 25,Neurology_II
tmod4,TMOD4,Tropomodulin-4,Oncology_II
tmprss11b,TMPRSS11B,Transmembrane protease serine 11B,Neurology_II
tmprss11d,TMPRSS11D,Transmembrane protease serine 11D,Neurology_II
tmprss15,TMPRSS15,Enteropeptidase,Oncology
tmprss5,TMPRSS5,Transmembrane protease serine 5,Neurology
tmsb10,TMSB10,Thymosin beta-10,Neurology
tnc,TNC,Tenascin,Cardiometabolic
tnf,TNF,Tumor necrosis factor,Cardiometabolic
tnfaip2,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,Oncology_II
tnfaip8,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,Inflammation
tnfaip8l2,TNFAIP8L2,Tumor necrosis factor alpha-induced protein 8-like protein 2,Inflammation_II
tnfrsf10a,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Neurology
tnfrsf10b,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Neurology
tnfrsf10c,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Cardiometabolic
tnfrsf11a,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inflammation
tnfrsf11b,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,Inflammation
tnfrsf12a,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,Oncology
tnfrsf13b,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,Inflammation
tnfrsf13c,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,Inflammation
tnfrsf14,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,Inflammation
tnfrsf17,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Inflammation_II
tnfrsf19,TNFRSF19,Tumor necrosis factor receptor superfamily member 19,Oncology
tnfrsf1a,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Neurology
tnfrsf1b,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Neurology
tnfrsf21,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,Neurology
tnfrsf4,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inflammation
tnfrsf6b,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Neurology
tnfrsf8,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,Neurology
tnfrsf9,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Neurology
tnfsf10,TNFSF10,Tumor necrosis factor ligand superfamily member 10,Inflammation
tnfsf11,TNFSF11,Tumor necrosis factor ligand superfamily member 11,Inflammation
tnfsf12,TNFSF12,Tumor necrosis factor ligand superfamily member 12,Inflammation
tnfsf13,TNFSF13,Tumor necrosis factor ligand superfamily member 13,Inflammation
tnfsf13b,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,Cardiometabolic
tnfsf14,TNFSF14,Tumor necrosis factor ligand superfamily member 14,Neurology
tnfsf8,TNFSF8,Tumor necrosis factor ligand superfamily member 8,Cardiometabolic_II
tnip1,TNIP1,TNFAIP3-interacting protein 1,Neurology_II
tnn,TNN,Tenascin-N,Cardiometabolic_II
tnni3,TNNI3,"Troponin I, cardiac muscle",Cardiometabolic
tnpo1,TNPO1,Transportin-1,Oncology_II
tnr,TNR,Tenascin-R,Neurology
tnxb,TNXB,Tenascin-X,Neurology
tomm20,TOMM20,Mitochondrial import receptor subunit TOM20 homolog,Cardiometabolic_II
top1,TOP1,DNA topoisomerase 1,Oncology_II
top1mt,TOP1MT,"DNA topoisomerase I, mitochondrial",Oncology_II
top2b,TOP2B,DNA topoisomerase 2-beta,Inflammation_II
tor1aip1,TOR1AIP1,Torsin-1A-interacting protein 1,Cardiometabolic_II
tp53,TP53,Cellular tumor antigen p53,Oncology
tp53bp1,TP53BP1,TP53-binding protein 1,Inflammation_II
tp53i3,TP53I3,Quinone oxidoreductase PIG3,Inflammation_II
tp53inp1,TP53INP1,Tumor protein p53-inducible nuclear protein 1,Cardiometabolic
tp73,TP73,Tumor protein p73,Neurology_II
tpbgl,TPBGL,Trophoblast glycoprotein-like,Neurology_II
tpd52l2,TPD52L2,Tumor protein D54,Inflammation_II
tpk1,TPK1,Thiamin pyrophosphokinase 1,Cardiometabolic_II
tpm3,TPM3,Tropomyosin alpha-3 chain,Cardiometabolic_II
tpmt,TPMT,Thiopurine S-methyltransferase,Oncology
tpp1,TPP1,Tripeptidyl-peptidase 1,Inflammation
tppp2,TPPP2,Tubulin polymerization-promoting protein family member 2,Oncology_II
tppp3,TPPP3,Tubulin polymerization-promoting protein family member 3,Neurology
tpr,TPR,Nucleoprotein TPR,Cardiometabolic_II
tprkb,TPRKB,EKC/KEOPS complex subunit TPRKB,Oncology_II
tpsab1,TPSAB1,Tryptase alpha/beta-1,Inflammation
tpsd1,TPSD1,Tryptase delta,Neurology_II
tpsg1,TPSG1,Tryptase gamma,Inflammation_II
tpt1,TPT1,Translationally-controlled tumor protein,Inflammation
traf2,TRAF2,TNF receptor-associated factor 2,Inflammation
traf3,TRAF3,"TNF receptor-associated factor 3, Isoform 2",Inflammation_II
traf3ip2,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,Cardiometabolic_II
trdmt1,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,Oncology_II
treh,TREH,Trehalase,Cardiometabolic_II
trem2,TREM2,Triggering receptor expressed on myeloid cells 2,Inflammation
treml1,TREML1,Trem-like transcript 1 protein,Inflammation_II
treml2,TREML2,Trem-like transcript 2 protein,Neurology
triap1,TRIAP1,TP53-regulated inhibitor of apoptosis 1,Oncology
trim21,TRIM21,E3 ubiquitin-protein ligase TRIM21,Inflammation
trim24,TRIM24,Transcription intermediary factor 1-alpha,Oncology_II
trim25,TRIM25,E3 ubiquitin/ISG15 ligase TRIM25,Oncology_II
trim26,TRIM26,Tripartite motif-containing protein 26,Oncology_II
trim40,TRIM40,E3 ubiquitin ligase TRIM40,Neurology_II
trim5,TRIM5,Tripartite motif-containing protein 5,Inflammation
trim58,TRIM58,E3 ubiquitin-protein ligase TRIM58,Oncology_II
trpv3,TRPV3,Transient receptor potential cation channel subfamily V member 3,Cardiometabolic_II
tsc1,TSC1,Hamartin,Inflammation_II
tsc22d1,TSC22D1,TSC22 domain family protein 1,Neurology_II
tshb,TSHB,Thyrotropin subunit beta,Cardiometabolic
tslp,TSLP,Thymic stromal lymphopoietin,Cardiometabolic
tsnax,TSNAX,Translin-associated protein X,Cardiometabolic_II
tspan1,TSPAN1,Tetraspanin-1,Cardiometabolic
tspan15,TSPAN15,Tetraspanin-15,Cardiometabolic_II
tspan7,TSPAN7,Tetraspanin-7,Neurology_II
tspan8,TSPAN8,Tetraspanin-8,Oncology_II
tspyl1,TSPYL1,Testis-specific Y-encoded-like protein 1,Inflammation_II
tst,TST,Thiosulfate sulfurtransferase,Neurology
ttf2,TTF2,Transcription termination factor 2,Neurology_II
ttn,TTN,Titin,Cardiometabolic_II
ttr,TTR,Transthyretin,Inflammation_II
tubb3,TUBB3,Tubulin beta-3 chain,Neurology_II
twf2,TWF2,Twinfilin-2,Cardiometabolic_II
txk,TXK,Tyrosine-protein kinase TXK,Oncology_II
txlna,TXLNA,Alpha-taxilin,Neurology
txn,TXN,Thioredoxin,Inflammation_II
txndc15,TXNDC15,Thioredoxin domain-containing protein 15,Oncology
txndc5,TXNDC5,Thioredoxin domain-containing protein 5,Neurology
txndc9,TXNDC9,Thioredoxin domain-containing protein 9,Neurology_II
txnl1,TXNL1,Thioredoxin-like protein 1,Neurology_II
txnrd1,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",Neurology
tymp,TYMP,Thymidine phosphorylase,Cardiometabolic
tyro3,TYRO3,Tyrosine-protein kinase receptor TYRO3,Cardiometabolic
tyrp1,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",Inflammation_II
ubac1,UBAC1,Ubiquitin-associated domain-containing protein 1,Oncology
ube2b,UBE2B,Ubiquitin-conjugating enzyme E2 B,Oncology_II
ube2l6,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,Cardiometabolic_II
ube2z,UBE2Z,Ubiquitin-conjugating enzyme E2 Z,Inflammation_II
ubqln3,UBQLN3,Ubiquilin-3,Cardiometabolic_II
ubxn1,UBXN1,UBX domain-containing protein 1,Inflammation_II
ufd1,UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1,Oncology_II
ugdh,UGDH,UDP-glucose 6-dehydrogenase,Cardiometabolic_II
uhrf2,UHRF2,E3 ubiquitin-protein ligase UHRF2,Cardiometabolic_II
ulbp2,ULBP2,UL16-binding protein 2,Neurology
umod,UMOD,Uromodulin,Cardiometabolic
unc5d,UNC5D,Netrin receptor UNC5D,Inflammation_II
unc79,UNC79,Protein unc-79 homolog,Oncology_II
ung,UNG,Uracil-DNA glycosylase,Oncology_II
upb1,UPB1,Beta-ureidopropionase,Cardiometabolic_II
upk3a,UPK3A,Uroplakin-3a,Neurology_II
upk3bl1,UPK3BL1,Uroplakin-3b-like protein 1,Oncology_II
urod,UROD,Uroporphyrinogen decarboxylase,Inflammation_II
uros,UROS,Uroporphyrinogen-III synthase,Neurology_II
uso1,USO1,General vesicular transport factor p115,Oncology
usp25,USP25,Ubiquitin carboxyl-terminal hydrolase 25,Oncology_II
usp28,USP28,Ubiquitin carboxyl-terminal hydrolase 28,Neurology_II
usp47,USP47,Ubiquitin carboxyl-terminal hydrolase 47,Cardiometabolic_II
usp8,USP8,Ubiquitin carboxyl-terminal hydrolase 8,Cardiometabolic
uxs1,UXS1,UDP-glucuronic acid decarboxylase 1,Oncology
vamp5,VAMP5,Vesicle-associated membrane protein 5,Cardiometabolic
vamp8,VAMP8,Vesicle-associated membrane protein 8,Inflammation_II
vash1,VASH1,Tubulinyl-Tyr carboxypeptidase 1,Inflammation
vasn,VASN,Vasorin,Cardiometabolic
vasp,VASP,Vasodilator-stimulated phosphoprotein,Inflammation_II
vat1,VAT1,Synaptic vesicle membrane protein VAT-1 homolog,Oncology
vav3,VAV3,Guanine nucleotide exchange factor VAV3,Neurology_II
vcam1,VCAM1,Vascular cell adhesion protein 1,Cardiometabolic
vcan,VCAN,Versican core protein,Neurology
vcpkmt,VCPKMT,Protein-lysine methyltransferase METTL21D,Oncology_II
vegfa,VEGFA,Vascular endothelial growth factor A,Inflammation
vegfb,VEGFB,Vascular endothelial growth factor B,Inflammation_II
vegfc,VEGFC,Vascular endothelial growth factor C,Oncology
vegfd,VEGFD,Vascular endothelial growth factor D,Inflammation
vgf,VGF,Neurosecretory protein VGF,Neurology_II
vim,VIM,Vimentin,Cardiometabolic
vipr1,VIPR1,Vasoactive intestinal polypeptide receptor 1,Cardiometabolic_II
vit,VIT,Vitrin,Cardiometabolic_II
vmo1,VMO1,Vitelline membrane outer layer protein 1 homolog,Oncology
vnn1,VNN1,Pantetheinase,Inflammation_II
vnn2,VNN2,Vascular non-inflammatory molecule 2,Oncology
vps28,VPS28,Vacuolar protein sorting-associated protein 28 homolog,Oncology_II
vps37a,VPS37A,Vacuolar protein sorting-associated protein 37A,Oncology
vps4b,VPS4B,Vacuolar protein sorting-associated protein 4B,Oncology_II
vps53,VPS53,Vacuolar protein sorting-associated protein 53 homolog,Oncology
vsig10,VSIG10,V-set and immunoglobulin domain-containing protein 10,Oncology_II
vsig10l,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like,Cardiometabolic_II
vsig2,VSIG2,V-set and immunoglobulin domain-containing protein 2,Oncology_II
vsig4,VSIG4,V-set and immunoglobulin domain-containing protein 4,Neurology
vsir,VSIR,V-type immunoglobulin domain-containing suppressor of T-cell activation,Cardiometabolic
vsnl1,VSNL1,Visinin-like protein 1,Neurology_II
vstm1,VSTM1,V-set and transmembrane domain-containing protein 1,Neurology
vstm2b,VSTM2B,V-set and transmembrane domain-containing protein 2B,Oncology_II
vstm2l,VSTM2L,V-set and transmembrane domain-containing protein 2-like protein,Cardiometabolic
vta1,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,Neurology
vtcn1,VTCN1,V-set domain-containing T-cell activation inhibitor 1,Oncology
vti1a,VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A,Inflammation_II
vwa1,VWA1,von Willebrand factor A domain-containing protein 1,Oncology
vwa5a,VWA5A,von Willebrand factor A domain-containing protein 5A,Oncology_II
vwc2,VWC2,Brorin,Neurology
vwc2l,VWC2L,von Willebrand factor C domain-containing protein 2-like,Neurology_II
vwf,VWF,von Willebrand factor,Cardiometabolic
wars,WARS,"Tryptophan--tRNA ligase, cytoplasmic",Neurology
was,WAS,Wiskott-Aldrich syndrome protein,Inflammation
wasf1,WASF1,Wiskott-Aldrich syndrome protein family member 1,Cardiometabolic
wasf3,WASF3,Wiskott-Aldrich syndrome protein family member 3,Neurology
washc3,WASHC3,WASH complex subunit 3,Neurology_II
wasl,WASL,Neural Wiskott-Aldrich syndrome protein,Inflammation_II
wdr46,WDR46,WD repeat-containing protein 46,Oncology_II
wfdc1,WFDC1,WAP four-disulfide core domain protein 1,Oncology_II
wfdc12,WFDC12,WAP four-disulfide core domain protein 12,Oncology
wfdc2,WFDC2,WAP four-disulfide core domain protein 2,Oncology
wfikkn1,WFIKKN1,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1",Neurology
wfikkn2,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",Inflammation
wif1,WIF1,Wnt inhibitory factor 1,Oncology
wnt9a,WNT9A,Protein Wnt-9a,Inflammation
wwp2,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,Neurology
xcl1,XCL1,Lymphotactin,Oncology
xg,XG,Glycoprotein Xg,Cardiometabolic
xiap,XIAP,E3 ubiquitin-protein ligase XIAP,Inflammation_II
xpnpep2,XPNPEP2,Xaa-Pro aminopeptidase 2,Oncology
xrcc4,XRCC4,DNA repair protein XRCC4,Neurology
yap1,YAP1,Transcriptional coactivator YAP1,Neurology_II
yars1,YARS1,"Tyrosine--tRNA ligase, cytoplasmic",Oncology_II
yes1,YES1,Tyrosine-protein kinase Yes,Oncology
yju2,YJU2,Splicing factor YJU2,Oncology_II
yod1,YOD1,Ubiquitin thioesterase OTU1,Cardiometabolic_II
ythdf3,YTHDF3,YTH domain-containing family protein 3,Inflammation
ywhaq,YWHAQ,14-3-3 protein theta,Inflammation_II
yy1,YY1,Transcriptional repressor protein YY1,Inflammation_II
zbp1,ZBP1,Z-DNA-binding protein 1,Inflammation_II
zbtb16,ZBTB16,Zinc finger and BTB domain-containing protein 16,Oncology
zbtb17,ZBTB17,Zinc finger and BTB domain-containing protein 17,Cardiometabolic
zcchc8,ZCCHC8,Zinc finger CCHC domain-containing protein 8,Cardiometabolic_II
zfyve19,ZFYVE19,Abscission/NoCut checkpoint regulator,Oncology_II
zhx2,ZHX2,Zinc fingers and homeoboxes protein 2,Neurology_II
znf174,ZNF174,Zinc finger protein 174,Inflammation_II
znf75d,ZNF75D,Zinc finger protein 75D,Oncology_II
znf830,ZNF830,Zinc finger protein 830,Oncology_II
znrd2,ZNRD2,Protein ZNRD2,Oncology_II
znrf4,ZNRF4,E3 ubiquitin-protein ligase ZNRF4,Oncology_II
zp3,ZP3,Zona pellucida sperm-binding protein 3,Cardiometabolic_II
zp4,ZP4,Zona pellucida sperm-binding protein 4,Oncology_II
zpr1,ZPR1,Zinc finger protein ZPR1,Neurology_II
